relationship_id,from_entity,to_entity,relationship_type,start_date,end_date,source,description
REL_00032,ENT_00452,OFF_00231,beneficiary_of,2018-08-25,2023-04-15,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00033,ENT_00139,OFF_00252,shareholder_of,2019-01-21,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00034,ENT_00292,OFF_00216,shareholder_of,2016-06-18,2022-08-18,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00035,ENT_00329,OFF_00259,officer_of,2019-03-24,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00036,ENT_00242,OFF_00005,beneficiary_of,2011-05-25,2023-08-16,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00037,ENT_00386,OFF_00211,beneficiary_of,2017-11-06,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00038,ENT_00014,OFF_00117,officer_of,2022-10-21,2023-03-29,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00039,ENT_00465,OFF_00019,director_of,2023-05-17,2024-12-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00040,ENT_00141,OFF_00288,officer_of,2019-11-28,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00041,ENT_00046,OFF_00110,officer_of,2013-10-06,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00042,ENT_00400,OFF_00064,shareholder_of,2023-07-05,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00043,ENT_00319,OFF_00009,officer_of,2019-02-04,2022-10-07,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00044,ENT_00166,OFF_00296,shareholder_of,2011-10-23,2023-03-18,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00045,ENT_00220,OFF_00211,beneficiary_of,2020-07-30,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00046,ENT_00088,OFF_00017,shareholder_of,2024-04-26,2023-08-06,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00047,ENT_00193,OFF_00051,beneficiary_of,2022-03-24,2023-10-25,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00048,ENT_00084,OFF_00282,beneficiary_of,2017-04-10,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00049,ENT_00239,OFF_00001,director_of,2019-05-30,2025-04-01,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00050,ENT_00037,OFF_00166,director_of,2015-12-26,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00051,ENT_00164,OFF_00211,officer_of,2022-06-22,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00052,ENT_00241,OFF_00111,shareholder_of,2022-07-03,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00053,ENT_00004,OFF_00068,officer_of,2018-09-18,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00054,ENT_00303,OFF_00239,officer_of,2015-12-10,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00055,ENT_00452,OFF_00067,beneficiary_of,2023-09-01,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00056,ENT_00124,OFF_00068,beneficiary_of,2018-03-16,2023-08-03,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00057,ENT_00207,OFF_00183,officer_of,2019-10-19,2023-08-29,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00058,ENT_00033,OFF_00091,beneficiary_of,2020-11-03,2025-03-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00059,ENT_00057,OFF_00179,director_of,2011-11-22,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00060,ENT_00377,OFF_00078,officer_of,2010-11-06,2023-04-24,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00061,ENT_00294,OFF_00237,officer_of,2013-08-23,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00062,ENT_00341,OFF_00176,officer_of,2017-02-01,2023-12-27,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00063,ENT_00433,OFF_00152,shareholder_of,2011-03-27,2022-07-22,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00064,ENT_00173,OFF_00276,officer_of,2022-11-17,2023-11-19,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00065,ENT_00184,OFF_00106,beneficiary_of,2013-04-17,2025-05-03,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00066,ENT_00086,OFF_00107,director_of,2015-02-28,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00067,ENT_00125,OFF_00083,director_of,2017-03-26,2023-06-11,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00068,ENT_00374,OFF_00076,officer_of,2011-07-29,2023-05-03,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00069,ENT_00352,OFF_00114,beneficiary_of,2011-12-03,2025-01-16,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00070,ENT_00312,OFF_00048,beneficiary_of,2013-10-07,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00071,ENT_00104,OFF_00161,officer_of,2013-12-04,2025-03-30,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00072,ENT_00451,OFF_00203,shareholder_of,2021-07-27,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00073,ENT_00469,OFF_00133,beneficiary_of,2017-08-19,2024-07-20,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00074,ENT_00109,OFF_00100,officer_of,2012-06-18,2024-02-13,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00075,ENT_00271,OFF_00138,director_of,2017-07-04,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00076,ENT_00242,OFF_00229,officer_of,2020-06-08,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00077,ENT_00211,OFF_00213,beneficiary_of,2010-11-09,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00078,ENT_00092,OFF_00199,beneficiary_of,2014-04-13,2025-03-28,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00079,ENT_00094,OFF_00071,beneficiary_of,2015-02-12,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00080,ENT_00047,OFF_00182,officer_of,2014-02-13,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00081,ENT_00021,OFF_00114,officer_of,2024-02-07,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00082,ENT_00082,OFF_00156,beneficiary_of,2020-05-09,2025-01-09,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00083,ENT_00396,OFF_00259,director_of,2019-12-12,2024-08-04,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00084,ENT_00019,OFF_00154,director_of,2022-02-23,2024-04-07,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00085,ENT_00206,OFF_00277,officer_of,2019-02-19,2023-09-09,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00086,ENT_00012,OFF_00170,director_of,2019-11-11,2024-07-17,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00087,ENT_00229,OFF_00159,officer_of,2010-09-02,2024-08-30,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00088,ENT_00052,OFF_00182,director_of,2010-11-14,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00089,ENT_00081,OFF_00154,director_of,2021-09-09,2025-02-13,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00090,ENT_00430,OFF_00118,director_of,2013-08-06,2024-01-03,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00091,ENT_00158,OFF_00079,director_of,2024-06-28,2024-04-27,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00092,ENT_00376,OFF_00292,shareholder_of,2014-04-25,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00093,ENT_00005,OFF_00045,beneficiary_of,2024-05-04,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00094,ENT_00120,OFF_00294,officer_of,2012-07-14,2025-05-09,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00095,ENT_00269,OFF_00027,director_of,2015-08-06,2025-01-17,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00096,ENT_00418,OFF_00000,shareholder_of,2015-05-31,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00097,ENT_00138,OFF_00001,director_of,2017-10-10,2025-05-08,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00098,ENT_00241,OFF_00223,director_of,2021-07-04,2024-01-24,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00099,ENT_00367,OFF_00063,beneficiary_of,2013-11-11,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00100,ENT_00074,OFF_00068,director_of,2021-05-02,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00101,ENT_00104,OFF_00289,director_of,2023-08-07,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00102,ENT_00041,OFF_00297,officer_of,2015-03-08,2025-03-08,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00103,ENT_00257,OFF_00297,officer_of,2011-05-13,2024-07-30,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00104,ENT_00016,OFF_00142,director_of,2011-09-05,2022-10-31,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00105,ENT_00186,OFF_00207,shareholder_of,2011-12-09,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00106,ENT_00414,OFF_00000,beneficiary_of,2020-05-19,2022-08-21,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00107,ENT_00018,OFF_00265,officer_of,2010-12-11,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00108,ENT_00199,OFF_00275,officer_of,2017-06-14,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00109,ENT_00122,OFF_00048,shareholder_of,2019-03-04,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00110,ENT_00257,OFF_00126,officer_of,2017-10-10,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00111,ENT_00164,OFF_00234,beneficiary_of,2016-02-08,2024-05-18,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00112,ENT_00114,OFF_00196,beneficiary_of,2018-02-16,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00113,ENT_00463,OFF_00124,officer_of,2012-06-10,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00114,ENT_00302,OFF_00078,director_of,2017-07-26,2022-10-25,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00115,ENT_00013,OFF_00094,beneficiary_of,2013-09-26,2024-09-25,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00116,ENT_00398,OFF_00018,officer_of,2023-04-10,2024-10-17,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00117,ENT_00104,OFF_00050,officer_of,2019-01-30,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00118,ENT_00090,OFF_00291,beneficiary_of,2011-08-13,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00119,ENT_00190,OFF_00142,officer_of,2019-04-15,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00120,ENT_00205,OFF_00061,beneficiary_of,2013-06-10,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00121,ENT_00284,OFF_00005,officer_of,2019-01-09,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00122,ENT_00305,OFF_00212,beneficiary_of,2014-04-25,2025-04-19,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00123,ENT_00193,OFF_00099,shareholder_of,2013-03-06,2022-07-22,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00124,ENT_00286,OFF_00245,director_of,2023-03-13,2023-03-24,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00125,ENT_00098,OFF_00161,officer_of,2012-01-31,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00126,ENT_00328,OFF_00126,officer_of,2012-08-14,2024-09-08,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00127,ENT_00201,OFF_00063,director_of,2023-06-11,2023-03-31,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00128,ENT_00381,OFF_00054,beneficiary_of,2021-07-15,2022-12-04,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00129,ENT_00109,OFF_00229,director_of,2010-11-02,2022-09-13,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00130,ENT_00048,OFF_00107,director_of,2018-08-24,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00131,ENT_00066,OFF_00200,shareholder_of,2019-07-01,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00132,ENT_00407,OFF_00271,beneficiary_of,2018-10-18,2024-01-05,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00133,ENT_00245,OFF_00231,shareholder_of,2024-04-13,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00134,ENT_00069,OFF_00276,shareholder_of,2013-05-11,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00135,ENT_00196,OFF_00280,beneficiary_of,2014-03-03,2023-08-28,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00136,ENT_00037,OFF_00161,shareholder_of,2015-04-12,2024-03-01,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00137,ENT_00367,OFF_00195,shareholder_of,2012-07-06,2025-06-11,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00138,ENT_00435,OFF_00171,beneficiary_of,2017-10-16,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00139,ENT_00197,OFF_00234,officer_of,2011-02-22,2024-11-30,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00140,ENT_00005,OFF_00265,officer_of,2015-08-15,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00141,ENT_00064,OFF_00162,officer_of,2015-12-06,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00142,ENT_00242,OFF_00233,shareholder_of,2019-05-19,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00143,ENT_00024,OFF_00032,shareholder_of,2020-08-13,2024-03-17,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00144,ENT_00188,OFF_00193,director_of,2017-12-18,2023-02-14,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00145,ENT_00051,OFF_00279,officer_of,2015-12-24,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00146,ENT_00413,OFF_00071,shareholder_of,2022-12-29,2023-08-19,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00147,ENT_00040,OFF_00279,beneficiary_of,2017-12-15,2023-08-01,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00148,ENT_00126,OFF_00284,beneficiary_of,2010-11-26,2023-10-09,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00149,ENT_00340,OFF_00063,beneficiary_of,2022-02-16,2024-02-16,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00150,ENT_00187,OFF_00084,officer_of,2020-06-05,2023-07-17,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00151,ENT_00205,OFF_00194,officer_of,2023-09-01,2024-04-03,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00152,ENT_00499,OFF_00100,officer_of,2012-10-29,2023-11-06,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00153,ENT_00279,OFF_00256,beneficiary_of,2015-05-16,2024-11-05,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00154,ENT_00387,OFF_00277,beneficiary_of,2023-08-08,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00155,ENT_00231,OFF_00233,director_of,2022-01-24,2023-12-25,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00156,ENT_00053,OFF_00110,shareholder_of,2018-06-12,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00157,ENT_00412,OFF_00085,director_of,2024-03-08,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00158,ENT_00380,OFF_00062,director_of,2021-03-25,2025-04-14,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00159,ENT_00479,OFF_00210,shareholder_of,2020-11-21,2023-02-03,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00160,ENT_00010,OFF_00239,director_of,2011-10-14,2024-04-17,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00161,ENT_00253,OFF_00224,beneficiary_of,2021-05-25,2023-04-08,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00162,ENT_00104,OFF_00105,director_of,2011-01-21,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00163,ENT_00431,OFF_00080,director_of,2020-07-04,2022-09-21,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00164,ENT_00107,OFF_00080,shareholder_of,2023-06-04,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00165,ENT_00244,OFF_00074,beneficiary_of,2015-12-08,2022-10-03,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00166,ENT_00035,OFF_00267,officer_of,2018-02-27,2024-04-13,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00167,ENT_00024,OFF_00295,director_of,2018-03-15,2025-01-24,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00168,ENT_00313,OFF_00056,officer_of,2020-06-21,2022-09-11,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00169,ENT_00433,OFF_00047,beneficiary_of,2014-03-17,2024-08-11,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00170,ENT_00286,OFF_00188,director_of,2024-04-02,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00171,ENT_00180,OFF_00075,officer_of,2023-12-21,2025-05-02,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00172,ENT_00093,OFF_00175,beneficiary_of,2015-12-17,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00173,ENT_00046,OFF_00296,shareholder_of,2016-07-11,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00174,ENT_00008,OFF_00005,director_of,2015-07-09,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00175,ENT_00017,OFF_00062,shareholder_of,2022-11-14,2024-04-16,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00176,ENT_00232,OFF_00237,officer_of,2020-12-13,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00177,ENT_00176,OFF_00103,shareholder_of,2024-02-10,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00178,ENT_00167,OFF_00045,beneficiary_of,2018-09-07,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00179,ENT_00272,OFF_00211,director_of,2011-08-17,2024-03-01,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00180,ENT_00071,OFF_00267,shareholder_of,2018-01-10,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00181,ENT_00087,OFF_00073,shareholder_of,2016-02-17,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00182,ENT_00224,OFF_00036,officer_of,2011-06-07,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00183,ENT_00135,OFF_00069,shareholder_of,2012-02-16,2024-09-04,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00184,ENT_00345,OFF_00173,director_of,2013-10-06,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00185,ENT_00327,OFF_00115,director_of,2012-07-16,2024-04-22,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00186,ENT_00498,OFF_00107,director_of,2019-04-07,2022-12-27,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00187,ENT_00217,OFF_00202,officer_of,2016-06-08,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00188,ENT_00132,OFF_00034,director_of,2014-11-08,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00189,ENT_00309,OFF_00057,director_of,2016-04-04,2024-05-31,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00190,ENT_00254,OFF_00057,officer_of,2015-01-22,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00191,ENT_00190,OFF_00089,officer_of,2015-01-25,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00192,ENT_00345,OFF_00101,officer_of,2013-08-23,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00193,ENT_00047,OFF_00012,shareholder_of,2020-01-24,2025-03-08,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00194,ENT_00388,OFF_00226,shareholder_of,2016-01-05,2024-01-18,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00195,ENT_00387,OFF_00156,director_of,2021-06-16,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00196,ENT_00174,OFF_00299,officer_of,2013-11-13,2023-07-19,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00197,ENT_00213,OFF_00219,director_of,2015-04-10,,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00198,ENT_00390,OFF_00254,shareholder_of,2024-06-18,2024-05-09,Panama Papers,Professional relationship connecting offshore entities with individuals.
REL_00199,ENT_00023,OFF_00128,beneficiary_of,2010-09-18,2023-05-01,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00200,ENT_00114,OFF_00084,director_of,2011-07-03,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00201,ENT_00216,OFF_00072,director_of,2014-11-23,,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00202,ENT_00482,OFF_00136,beneficiary_of,2022-09-05,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00203,ENT_00067,OFF_00047,beneficiary_of,2017-08-06,,Paradise Papers,Professional relationship connecting offshore entities with individuals.
REL_00204,ENT_00185,OFF_00190,officer_of,2021-05-15,2024-06-04,Offshore Leaks,Professional relationship connecting offshore entities with individuals.
REL_00205,ENT_00364,OFF_00193,director_of,2014-02-17,2023-12-10,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00206,ENT_00192,OFF_00080,beneficiary_of,2021-04-06,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00207,ENT_00263,OFF_00192,beneficiary_of,2023-07-17,2024-05-23,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00208,ENT_00075,OFF_00187,shareholder_of,2021-08-25,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00209,ENT_00490,OFF_00091,officer_of,2016-04-30,,Pandora Papers,Professional relationship connecting offshore entities with individuals.
REL_00210,ENT_00410,OFF_00171,director_of,2016-12-31,,Bahamas Leaks,Professional relationship connecting offshore entities with individuals.
REL_00211,ENT_00237,OFF_00110,shareholder_of,2019-05-28,2023-09-23,Panama Papers,Professional relationship connecting offshore entities with individuals.
